tag,description,potential_paste_1,code_1,potential_paste_2,code_2,potential_paste_3,code_3,notes
alduin's_wall_quest,,"Events Update: {player_name} (the Dragonborn), Delphine, and Esbern have found their way into Sky Haven Temple, deep within The Reach. Esbern and Delphine now reside there.",getstagedone MQ203 60 = 1,,,,,
the_throat_of_the_world_quest,,Events Update: {player_name} (the Dragonborn) has met Paarthurnax at the Throat of the World.,,,,,,
season_unending_quest,,"Events Update: At High Hrothgar, The Greybeards and the Dragonborn {player_name}, mediated a peace summit between the leadership of the Imperial Legion and the Stormcloak rebellion. Though neither party was entirely satisfied, both agreed to a temporary halting of their campaigns in order to facilitate focus on the dragon threat, allowing {player_name} to proceed with a plan to trap a dragon in Whiterun.",,,,,,
dragonslayer_quest,,"Events Update: {player_name} (the Dragonborn) has defeated Alduin, saving the world from destruction.",,,,,,
sovngarde,,custom,,,,,,
,,,,,,,,
whiterun_hold,,custom,,,,,,
whiterun_hold_civil_war,,"Events Update: The Stormcloaks have successfully attacked Whiterun, taking contol of the city and the rest of the hold. Vignar Gray-Mane is now the jarl.",,"Events Update: The Stormcloaks have attacked Whiterun, but failed to take the city.",,,,
riverwood,,custom,,,,,,
ralof_chosen,,,,,,,,
hadvar_chosen,,,,,,,,
sleeping_giant_inn,,custom,,,,,,
sleeping_giant_inn_delphine_left,,"Events Update: Delphine has left Riverwood for good, leaving Orgnar with ownership of the Sleeping Giant Inn.",getstagedone MQ203 60 = 1,,,,,
orgnar_status,,Events Update: Orgnar has died.,,,,,,
embry_status,,Events Update: Embry has died.,,,,,,
the_golden_claw_quest,,Events Update: {player_name} has returned the Golden Claw to Lucan and Camilla.,,,,,,
lucan_valerius_status,,Events Update: Lucan Valerius has died.,,,,,,
camilla_valerius_status,,Events Update: Camilla Valerius has died.,,,,,,
a_lovely_letter_quest,,,,,,,,
sven_status,,Events Update: Sven has died.,,,,,,
faendal_status,,Events Update: Faendal has died.,,,,,,
gerdur_status,,Events Update: Gerdur has died.,,,,,,
hod_status,,Events Update: Hod has died.,,,,,,
alvor_status,,Events Update: Alvor has died.,,,,,,
sigrid_status,,Events Update: Sigrid has died.,,,,,,
whiterun,,custom,,,,,,
adrianne_avenicci_status,,Events Update: Adrianne Avenicci has died.,,,,,,
ulfberth_war-bear_status,,Events Update: Ulfberth War-Bear has died.,,,,,,
drunken_huntsman,,,,,,,,
elrindir_status,,Events Update: Elrindir has died.,,,,,,
anoriath_status,,Events Update: Anoriath has died.,,,,,,
breezehome,,custom,,,,,,
belethor_status,,Events Update: Belethor has died.,,,,,,
sigurd_status,,Events Update: Sigurd has died.,,,,,,
arcadia_status,,Events Update: Arcadia has died.,"""01A66D"".getav health = 0",,,,,
arcadia's_cauldron_succession,,"Events Update: Following Arcadia's death, Ahlam has taken over management of the Arcadia's Cauldron alchemy shop.","""01A66D"".getav health = 0
AND
""01A6A5"".getav health > 0",,,,,
carlotta_valentia_status,,Events Update: Carlotta Valentia has died.,,,,,,
carlotta_valentia_quest,,,,,,,,
ysolda_status,,Events Update: Ysolda has died.,,,,,,
brenuin_status,,Events Update: Brenuin has died.,,,,,,
lucia_adoption_status,,Events Update: Lucia has been adopted by {player_name} (the player).,,,,,,
bannered_mare,,custom,,,,,,
hulda_status,,Events Update: Hulda has died.,,,,,,
in_my_time_of_need_quest,,Events Update: {player_name} has killed the Alik'r warriors who were hunting Saadia.,,,,,,
saadia_status,,Events Update: Saadia has died.,"""0D7505"".getav health = 0",Events Update: Saadia has disappeared.,getstagedone MS08 201 = 1,,,
mikael_status,,Events Update: Mikael has died.,,,,,,
sinmir_status,,Events Update: Sinmir has died.,,,,,,
amren_status,,Events Update: Amren has died.,,,,,,
amren_quest,,,,,,,,
saffir_status,,Events Update: Saffir has died.,,,,,,
missing_in_action_quest,,,,,,,,
eorlund_gray-mane_status,,Events Update: Eorlund Gray-Mane has died.,,,,,,
fralia_gray-mane_status,,Events Update: Fralia Gray-Mane has died.,,,,,,
olfina_gray-mane_status,,Events Update: Olfina Gray-Mane has died.,,,,,,
jon_battle-born_status,,Events Update: Jon Battle-Born has died.,,,,,,
olfrid_battle-born_status,,Events Update: Olfrid Battle-Born has died.,,,,,,
bergritte_battle-born_status,,Events Update: Bergritte Battle-Born has died.,,,,,,
idolaf_battle-born_status,,Events Update: Idolaf Battle-Born has died.,,,,,,
alfhild_battle-born_status,,Events Update: Alfhild Battle-Born has died.,,,,,,
gwendolyn_status,,Events Update: Gwendolyn has died.,,,,,,
temple_of_kynareth,,custom,,,,,,
the_blessings_of_nature_quest,,"Events Update: A sapling from the Eldergleam has been brought as a replacement for the dying Gildergreen. In time, the small tree will grow to be a new Gildergreen.",,other option,,,,
danica_pure-spring_status,,Events Update: Danica Pure-Spring has died.,,,,,,
jenssen_status,,Events Update: Jenssen has died.,,,,,,
ahlam_status,,Events Update: Ahlam has died.,,,,,,
nazeem_status,,Events Update: Nazeem has died.,,,,,,
whiterun_hall_of_the_dead,,custom,,,,,,
andurs_status,,Events Update: Andurs has died.,,,,,,
heimskr_status,,Events Update: Heimskr has died.,,,,,,
the_companions,,custom,,,,,,
companions_circle,,custom,,,,,,
the_silver_hand_quest-player_is_werewolf,,"Events Update: Skjor and Aela have invited {player_name} to partake of the beast blood (sourced from Aela) and join The Circle. {player_name} is now a lycanthrope, like the other members of the Circle.",getstage C03 >= 25,,,,,
skjor_status,,Events Update: Skjor has fallen in battle and perished.,,,,,,
kodlak_whitemane_status,,Events Update: Kodlak Whitemane was killed during a raid on Jorrvaskr.,,,,,,
glory_of_the_dead_quest,,"Events Update: {player_name}, Aela, Farkas, and Vilkas journeyed to Ysgramor's Tomb (on an island just off Skyrim's northern coast). There, they opened the tomb's entrance via Wuuthrad (Ysgramor's legendary battleaxe, whose fragments where recently reforged by Eorlund Gray-Mane), then battled through the loyal defending spirits of past Companions within. They eventually succeeded in cleansing Kodlak's soul lycanthropy (via throwing a Glenmoril witch head into the fire).",,,,,,For Circle members
player_harbinger_awareness,,"Events Update: Following Kodlak Whitemane's death, {player_name} has succeeded him as the new Harbinger of the Companions.",,,,,,For non-Circle members
player_lycanthropy_cleansed,,"Events Update: Via the same method that was used to cleanse Kodlak's soul at Ysgramor's tomb, {player_name} has cured themself of lycanthropy.",,,,,,
farkas_cleansed,,"Events Update: Via the same method that was used to cleanse Kodlak's soul at Ysgramor's tomb, and with {player_name}'s help, Farkas has cured himself of lycanthropy.",,,,,,
vilkas_cleansed,,"Events Update: Via the same method that was used to cleanse Kodlak's soul at Ysgramor's tomb, and with {player_name}'s help, Vilkas has cured himself of lycanthropy.",,,,,,
athis_status,,Events Update: Athis has died.,,,,,,
njada_stonearm_status,,Events Update: Njada Stonearm has died.,,,,,,
ria_status,,Events Update: Ria has died.,,,,,,
torvar_status,,Events Update: Torvar has died.,,,,,,
tilma_the_haggard_status,,Events Update: Tilma the Haggard has died.,,,,,,
brill_status,,Events Update: Brill has died.,,,,,,
aela_the_huntress_status,,Events Update: Aela the Huntress has died.,,,,,,
farkas_status,,Events Update: Farkas has died.,,,,,,
vilkas_status,,Events Update: Vilkas has died.,,,,,,
dragonsreach,,custom,,,,,,
dragonsreach_civil_war,,"Dragonsreach Events Update: Jarl Balgruuf, along with his three children, his brother Hrongar, his personal housecarl Irileth, and his steward Proventus Avenicci, have been all forced to flee in exile as a result of the Stormcloaks' takeover of Whiterun. New jarl Vignar Gray-Mane is served by Brill as the court steward, and by his niece Olfina Gray-Mane as housecarl. Hjornskar Head-Smasher now commands local Stormcloak forces from the palace. Farengar Secret-Fire remains the court wizard.",,,,,,
dragon_rising_quest,,"Events Update: {player_name} has been named a Thane of Whiterun, following the defeat of the dragon at Whiterun's western watchtower.",,,,,,
balgruuf_the_greater_status,,Events Update: Balgruuf the Greater has died.,,,,,,
irileth_status,,Events Update: Irileth has died.,,,,,,
proventus_avenicci_status,,Events Update: Proventus Avenicci has died.,,,,,,
hrongar_status,,Events Update: Hrongar has died.,,,,,,
farengar_secret-fire_status,,Events Update: Farengar Secret-Fire has died.,,,,,,
the_whispering_door_quest,,,,,,,,
skulvar_sable-hilt_status,,Events Update: Skulvar Sable-Hilt has died.,,,,,,
jervar_status,,Events Update: Jervar has died.,,,,,,
lillith_maiden-loom_status,,Events Update: Lillith Maiden-Loom has died.,,,,,,
chillfurrow_farm,,custom,,,,,,
pelagia_farm,,custom,,,,,,
severio_pelagia_status,,Events Update: Severio Pelagia has died.,,,,,,
nimriel_status,,Events Update: Nimriel has died.,,,,,,
gloth_status,,Events Update: Gloth has died.,,,,,,
honningbrew_meadery,,custom,,,,,,
dampened_spirits_quest,,,,,,,,
eimar_status,,Events Update: Eimar has died.,,,,,,
rorikstead,,custom,,,,,,
ennis_status,,Events Update: Ennis has died.,,,,,,
reldith_status,,Events Update: Reldith has died.,,,,,,
lemkil_status,,Events Update: Lemkil has died.,,,,,,
frostfruit_inn,,custom,,,,,,
mralki_status,,Events Update: Mralki has died.,,,,,,
erik_status,,Events Update: Erik has died.,,,,,,
erik_the_slayer_status,,Events Update: Erik has died.,,,,,,
rorik_status,,Events Update: Rorik has died.,,,,,,
jouane_manette_status,,Events Update: Jouanne Manette has died.,,,,,,
,,,,,,,,
falkreath_hold,,custom,,,,,,
falkreath_hold_civil_war,,Events Update: The Stormcloaks now control Falkreath. Dengeir of Stuhn is now the jarl once more.,,,,,,
falkreath,,custom,,,,,,
dead_man's_drink,,custom,,,,,,
valga_vinicia_status,,Events Update: Valga Vinicia has died.,,,,,,
narri_status,,Events Update: Narri has died.,,,,,,
delacourt_status,,Events Update: Delacourt has died.,,,,,,
solaf_status,,Events Update: Solaf has died.,,,,,,
bolund_status,,Events Update: Bolund has died.,,,,,,
lod_status,,Events Update: Lod has died.,,,,,,
zaria_status,,Events Update: Zaria has died.,,,,,,
falkreath_hall_of_the_dead,,custom,,,,,,
runil_status,,Events Update: Runil has died.,,,,,,
kust_status,,Events Update: Kust has died.,,,,,,
mathies_status,,Events Update: Mathies has died.,,,,,,
indara_caerellia_status,,Events Update: Indara Caerellia has died.,,,,,,
thadgeir_status,,Events Update: Thadgeir has died.,,,,,,
ill_met_by_moonlight_quest,,,,,,,,
falkreath_longhouse,,custom,,,,,,
falkreath_longhouse_civil_war,,"Falkreath Longhouse Events Update: Jarl Siddgeir has been forced to flee in exile, accompanied by court steward Nenya. Jarl Dengeir has elevated his maid/servant Tekla to serve as his steward. Thorygg Sun-Killer now commands local Stormcloak forces from the longhouse.",,,,,,
falkreath_thane_quest,,Awareness Addendum: Aware that {player_name} (the player) has been named as a Thane of Falkreath.,,,,,,
helvard_status,,Events Update: Helvard has been murdered.,,,,,,
dark_brotherhood,,custom,,,,,,
with_friends_like_these_quest,,"Events Update: {player_name} (the player) passed Astrid's test by killing one or more of the three hostages in the abandoned cabin, and is now a member of the Dark Brotherhood.",,Events Update: {player_name} (the player) rejected Astrid's ultimatum and killed her instead.,,,,
with_friends_like_these_quest_partial_awareness,,Events Update: {player_name} (the player) passed Astrid's test and is now a member of the Dark Brotherhood.,,Events Update: Astrid has still yet to return from her excursion to go recruit a potential new member of the Brotherhood. She should've been back by now.,,,,
dark_brotherhood_cicero_arrived,,"Events Update: Cicero (Keeper of the Dark Brotherhood, jester appearance/persona, fervent adherent of the Five Tenets and the old ways) has arrived at the Brotherhood's Falkreath Sanctuary.",,,,,,
whispers_in_the_dark_quest,,Events Update: {player_name} has been revealed to be the next Listener of the Dark Brotherhood.,,,,,,
the_silence_has_been_broken_quest,,"Events Update: The Brotherhood has been tasked with killing Emperor Titus Mede II himself. In order to achieve this final goal, their planned first step is to have {player_name} assassinate Vittoria Vici (the Emperor's cousin) at her upcoming wedding in Solitude.",,,,,,
bound_unto_death_quest,,"Events Update: Assisted by other Brotherhood members, {player_name} assassinated Vittoria Vici at her wedding. With the Emperor now planning a visit to Skyrim in response, {player_name}'s next major target will be Gaius Maro - the son of the commander of Skyrim's branch of the Penitus Oculatus (the Emperor's personal espionage and security force).",,,,,,
breaching_security_quest,,"Events Update: While {player_name} was assassinating Gaius Maro, there was in incident in the Sanctuary - Cicero became outraged at a comment of Astrid's and tried to stab her. Veezara intervened and was greviously stabbed by him, but appears to be in stable condition. Arnbjorn pursued Cicero as he fled from the Sanctuary. ",,,,,,
breaching_security_quest_guards,,"Events Update: A plot to assassinate the Emperor (apparently led by a member of the Emperor's bodyguards, the Penitus Oculatus) has been foiled.","getstagedone DB06 200 = 1, getstagedone DB08 200 = 0",,,,,
the_cure_for_madness_quest_cicero,,"Events Update: Arnbjorn and Cicero wounded each other outside the abandoned Dark Brotherhood Sanctuary outside Dawnstar. {player_name} (The Listener) then found Cicero within the Sanctuary. {player_name} decided to disobey Astrid, sparing Cicero's life and leaving him to hide and recover within the Sanctuary.",,,,,,
the_cure_for_madness_quest,,"Events Update: After {player_name} pursued Cicero and dealt with him at the abandoned Brotherhood Sanctuary outside Dawnstar, they now plan to have {player_name} kill the Gourmet (mysterious and illustrious chef). This will allow {player_name} to later assume the Gourmet's identity and use it to poison a meal cooked for the Emperor.",,,,,,
recipe_for_disaster_quest,,Events Update: The Gourmet has been killed. The time is approaching for {player_name} - posing as the Gourmet - to assassinate the Emperor at Castle Dour in Solitude.,,,,,,
to_kill_an_empire_quest,,Events Update: The Brotherhood's Falkreath Sanctuary is on fire and is beset by an assault by the Penitus Oculatus. Multiple Brotherhood members are already dead.,,,,,,
death_incarnate_quest,,"Events Update: The ""Emperor"" killed by {player_name} in Solitude ended up being a decoy. Festus, Veezara, Gabriella, and Arnbjorn were all killed in the Penitus Oculatus's attack on the Sanctuary. Nazir and Babette survived. Astrid, horrifically burned and dying, revealed that she was the one who betrayed {player_name} to the Penitus Oculatus, hoping for things to go back to how they were before the Brotherhood has a Listener, and bitter about not being chosen for the role herself. Obviously, Commander Maro of the Penitus Oculatus decided to not honor his deal with Astrid to not harm the Brotherhood (in exchange for Astrid betraying {player_name}). Repenting for her actions and acknowledging her foolishness in abandoning the Brotherhood's old ways, Astrid performed the Black Sacrament on herself - {player_name} dealt the killing blow to her. The Night Mother has instructed {player_name} that the real Emperor must still be assassinated.",,,,,,
hail_sithis_quest,,"Events Update: {player_name} has successfully assassinated the real Emperor Titus Mede II, aboard his flagship (The Karariah) in the Solitude harbor. The remaining Brotherhood members now use the old abandoned Dawnstar Sanctuary as their new home, where the Night Mother now resides.",,,,,,
emperor_status,,Events Update: Emperor Titus Mede II was assassinated during his visit to Skyrim.,getstagedone DB11 200 = 1,,,,,
amaund_motierre_status,,Events Update: Amaund Motierre has been killed.,,,,,,
cicero_spared,,Awareness Update: It turns out that {player_name} actually decided to spare Cicero during the prior incident involving him; Cicero remains the Keeper and a proper member of the Brotherhood.,,,,,,Should only be used/triggered after Hail Sithis is complete.
honor_thy_family_quest,,,,,,,,
hern_status,,Events Update: Hern has died.,,,,,,
hert_status,,Events Update: Hert has died.,,,,,,
lakeview_manor,,custom,,,,,,
helgen,,custom,,,,,,
a_daedra's_best_friend_quest,,Events Update: {player_name} chose to not to kill Barbas and received the Masque of Clavicus Vile as a reward.,,Events Update: {player_name} chose to kill Barbas and received the Rueful Axe as a reward.,,,,
,,,,,,,,
the_reach,,custom,,,,,,
the_reach_civil_war,,Local Events Update: The Stormcloaks now control Markarth (and the rest of The Reach). Thongvor Silver-Blood is now the jarl.,,,,,,
markarth,,custom,,,,,,
margret_attack_outcome,,"Local Events Update: A woman named Margret has died after being stabbed in the marketplace, in a dramatic attack carried out by a local miner (who was then killed at the scene).",,"Events Update: A dramatic attack in the marketplace was carried out by a local miner; he was about to stab a visiting woman named Margret, but was swiftly put down.",,,,
hogni_red-arm_status,,Local Events Update: Hogni Red-Arm has died.,,,,,,
delivery_to_calcelmo_quest,,,,,,,,
silver-blood_inn,,custom,,,,,,
kleppr_status,,Local Events Update: Kleppr has died.,,,,,,
frabbi_status,,Local Events Update: Frabbi has died.,,,,,,
hreinn_status,,Local Events Update: Hreinn has died.,,,,,,
hroki_status,,Local Events Update: Hroki has died.,,,,,,
lisbet_status,,Local Events Update: Lisbet has died.,,,,,,
lisbet's_missing_shipment_quest,,,,,,,,
imedhnain_status,,Local Events Update: Imedhnain has died.,,,,,,
cosnach_status,,Local Events Update: Cosnach has died.,,,,,,
kerah_status,,Local Events Update: Kerah has died.,,,,,,
ogmund_status,,Local Events Update: Ogmund has died.,,,,,,
search_and_seizure_quest_ogmund_perspective,,,,,,,,
the_house_of_horrors_quest,,,,,,,,
vlindrel_hall,,custom,,,,,,
eltrys_status,,Local Events Update: Eltys has been killed.,,,,,,
rhiada_pregnancy_status,,,,,,,,
rhiada_status,,Local Events Update: Rhiada has died.,,,,,,
nana_ildene_status,,Local Events Update: Nana Ildene has been killed.,,,,,,
donnel_status,,Local Events Update: Donnel has been killed.,,,,,,
markarth_treasury_house,,custom,,,,,,
betrid_silver-blood_status,,Local Events Update: Betrid Silver-Blood has been killed.,,,,,,
thonar_silver-blood_status,,Local Events Update: Thonar Silver-Blood has died.,,,,,,
nepos_the_nose_status,,Local Events Update: Nepos the Nose has died.,,,,,,
markarth_warrens,,custom,,,,,,
cairine_status,,Local Events Update: Cairine has died.,,,,,,
degaine_status,,Local Events Update: Degaine has died.,,,,,,
dryston_status,,Local Events Update: Dryston has died.,,,,,,
garvey_status,,Local Events Update: Garvey has died.,,,,,,
omluag_status,,Local Events Update: Omluag has died.,,,,,,
hathrasil_status,,Local Events Update: Hathrasil has died.,,,,,,
mulush_gro-shugurz_status,,Local Events Update: Mulush gro-Shugurz has died.,,,,,,
urgoza_gro-shugurz_status,,Local Events Update: Urgoza gro-Shugurz has died.,,,,,,
cidhna_mine,,custom,,,,,,
grisvar_the_unlucky_status,,Local Events Update: Grisvar the Unlucky has been killed.,,,,,,
no_one_escapes_cidhna_mine_quest,,"Local Events Update: A group of Forsworn prisoners escaped from Cidhna Mine, tearing through the streets of Markarth and killing city guardsmen before escaping into the hills.",,"Local Events Update: A group of Forsworn prisoners briefly escaped from Cidhna Mine, but were swiftly put down by the city guardsmen.",,,,For some Markarth townspeople
no_one_escapes_cidhna_mine_quest_law,,Local Events Update: {player_name} - who was previously arrested and thrown in Cidhna mine - has been cleared of wrongdoing by the authorities.,,,,,,
no_one_escapes_cidhna_mine_quest_druadach,,,,,,,,
temple_of_dibella,,custom,,,,,,
heart_of_dibella_quest,,,,,,,,
senna_status,,Local Events Update: Senna has died.,,,,,,
hamal_status,,Local Events Update: Hamal has died.,,,,,,
anwen_status,,Local Events Update: Anwen has died.,,,,,,
orla_status,,Local Events Update: Orla has died.,,,,,,
hag's_cure,,custom,,,,,,
bothela_status,,Local Events Update: Bothela has died.,,,,,,
mourning_never_comes_quest,,,,,,,,
muiri_status,,Local Events Update: Muiri has died.,,,,,,
understone_keep,,custom,,,,,,
understone_keep_civil_war,,"Understone Keep Events Update: Jarl Igmund, his uncle/steward Raerek, and Igmund's housecarl Faleen have been forced to flee in exile as a result of the Stormcloaks' takeover of Markarth. The new jarl, Thongvor Silver-Blood, is served by steward Reburrus Quintilius and personal housecarl Yngvar the Singer, with Kottir Red-Shoal commanding local Stormcloak forces from the keep.",,,,,,Supplemental to the the_reach_civil_war tag
the_reach_thane_quest,,Awareness Addendum: Aware that {player_name} (the player) has been named as a Thane of The Reach.,,,,,,
search_and_seizure_quest,,,,,,,,
ondolemar_status,,Local Events Update: Ondolemar is dead.,,,,,,
moth_gro-bagol_status,,Local Events Update: Moth gro-Bagol has died.,,,,,,
ghorza_gra-bagol_status,,Local Events Update: Ghorza gra-Bagol has died.,,,,,,
tacitus_sallustius_status,,Local Events Update: Tacitus Sallustius has died.,,,,,,
anton_virane_status,,Local Events Update: Anton Virane has been murdered.,,,,,,
rondach_status,,Local Events Update: Rondach has died.,,,,,,
voada_status,,Local Events Update: Voada has died.,,,,,,
aicantar_status,,Local Events Update: Aicantar has died.,,,,,,
brother_verulus_status,,Local Events Update: Brother Verulus has disappeared (probably dead).,,,,,,
cedran_status,,Local Events Update: Cedran has died.,,,,,,
banning_status,,Local Events Update: Banning has died.,,,,,,
vigilance_bought,,,,,,,,
sanyon_status,,Local Events Update: Sanyon has died.,,,,,,
nimphaneth_status,,Local Events Update: Nimphaneth has died.,,,,,,
eola_status,,Local Events Update: Eola has died.,,,,,,
the_taste_of_death_quest,,,,,,,,
left_hand_mine,,custom,,,,,,
skaggi_scar-face_status,,Local Events Update: Skaggi Scar-Face has died.,,,,,,
sosia_tremellia_status,,Local Events Update: Sosia Tremellia has died.,,,,,,
daighre_status,,Local Events Update: Daighre has died.,,,,,,
torom_status,,Local Events Update: Torom (Erith's dog) has died.,,,,,,
adeber_status,,Local Events Update: Adeber has died.,,,,,,
ennoc_status,,Local Events Update: Ennoc has died.,,,,,,
willem_status,,Local Events Update: Willem has died.,,,,,,
pavo_attius_status,,Local Events Update: Pavo Attius has died.,,,,,,
gat_gro-shargakh_status,,Local Events Update: Gat gro-Shargakh has died.,,,,,,
